id,user_id,user_name,vendor_id,vendor_name,category_id,category_name,catalog,qty,desc,unitprice,unit,link,orderdate,receiptdate,comment,location
1540,14,pburke,4,NEB,4,Cells/Plasmids,C3020K,1,NEB 10-beta Electrocompetent E.coli,192.60,6x0.1 ml,https://www.neb.com/products/c3020-neb-10-beta-electrocompetent-e-coli,2019-11-07,2019-11-20,for library prep,"-80C, see Phil for location"
1541,23,yzhao,9,Fisher,5,Chemicals,DF0118170,1,"Media additive, Microbiology; BD; BBL; Difco; Bacto; Peptone, Fine Powder; Bottle; Quantity: 500g; 1/EA 211677",107.79,each,https://www.fishersci.com/shop/products/bd-bbl-difco-media-additives-ingredients-reagents-peptone-3/p-4897964,2019-11-08,2019-11-14,,Chemical Racks
1542,23,yzhao,68,Teknova,5,Chemicals,G5005,1,"Geneticin G418, Disulfate Salt (Antibiotic G-418 Disulfate)",128.59,5g,https://www.teknova.com/gentamicin-sulfate-g418-sulfate.html,2019-11-11,2019-11-13,,4 deg fridge
1543,23,yzhao,9,Fisher,5,Chemicals,0210180080,1,"L-Glutamic acid Monosodium Salt ge 99% MSG, C5H8NO4Na . H2O, CAS Number: 142-47-2, 100g, 0210180080 1/EA",21.46,100g,https://www.fishersci.com/itemdetail?catnum=ICN10180080,2019-11-11,2019-11-19,,Chemical Racks
1544,7,hpark,9,Fisher,7,Enzymes,FD0054,1,FastDigest BamHI,52.79,each,https://www.thermofisher.com/order/catalog/product/FD0054?gclid=Cj0KEQiAiMHEBRC034nx2ImB1J0BEiQA-r7ctuMviDowd6orVAPAHWgkY7qz0ignTyuSaTbtILQNQW0aAkC18P8HAQ&ef_id=WFiBwwAAAGRGLB9R:20170201012745:s,2019-11-19,2019-11-22,,Enzyme box -20C
1545,7,hpark,9,Fisher,7,Enzymes,EL0014,2,T4 DNA ligase,64.65,ea,https://www.thermofisher.com/order/catalog/product/EL0014,2019-11-19,2019-11-22,,267
1546,7,hpark,9,Fisher,6,Lab consumables,AB0600,1,Microplate; PCR; 96-Well; Non-Skirted; Low Profile; Clear,49.47,pkg of 25,https://www.thermofisher.com/order/catalog/product/AB0600,2019-11-19,2019-11-28,,60
1547,7,hpark,9,Fisher,6,Lab consumables,K420163-4503,1,Three-way Luer Stopcock,56.59,case,https://www.fishersci.com/shop/products/kimble-chase-kontes-flexcolumn-three-way-luer-stopcock/k4201634503,2019-11-19,2019-12-02,,140
1548,14,pburke,3,Bio-Rad,6,Lab consumables,1652089,1,Biorad Electroporation Cuvettes 1mm gap,147.75,pack of 50,http://www.bio-rad.com/en-us/product/gene-pulser-micropulser-electroporation-cuvettes,2019-11-20,2019-11-25,,15
1549,1,rasi,9,Fisher,3,Equipment,NC9332171 ,1,Plasma cleaner,4125.00,ea,https://harrickplasma.com/plasma-cleaners/basic-plasma-cleaner/,2019-11-21,2020-01-24,for microfluidics,Heungwon's bench
